Levels,Environment,Competitive,Classes,Lab,Sports,Toilet,Sports_Competition,Students_per_class,Langugae,Timings,Meetings,Fests,Field_trips,Water,Mid_day_meal,Quality_of_food,Assessment,Region,Happiness
moderate,knowledge,not,8,yes,04-May,better,yes,31-40,hindi,7,annually,never,once,always,yes,good,weekly,E,7.345666071
moderate,learner,not,6,yes,02-Mar,hygiene,never,41-50,english,5,annually,once,twice,always,no,excellent,monthly,C,8.084044408
hard,knowledge,moderate,6,no,02-Mar,bad,sometimes,21-30,telugu,5,Quarterly,once,once,always,no,good,monthly,E,4.139592414
moderate,learner,not,6,not always,04-May,hygiene,sometimes,41-50,hindi,7,half yearly,once,twice,always,no,good,weekly,K,4.458536167
hard,Assessment,moderate,8,yes,02-Mar,better,yes,21-30,hindi,6,Quarterly,once,once,always,no,good,weekly,C,1.656642883
hard,learner,highly,10,not always,02-Mar,bad,yes,21-30,hindi,7,Quarterly,twice,twice,sometimes,yes,good,monthly,F,7.902832587
easy,learner,highly,6,yes,06-Aug,better,sometimes,41-50,hindi,5,annually,never,twice,never,yes,can be improved,never,K,7.244431121
easy,knowledge,not,8,yes,06-Aug,hygiene,never,21-30,english,5,Quarterly,once,once,sometimes,yes,can be improved,weekly,J,7.696159764
easy,Assessment,not,8,no,02-Mar,hygiene,sometimes,31-40,hindi,6,annually,once,once,always,no,can be improved,never,C,5.046675446
hard,learner,not,10,not always,02-Mar,bad,never,21-30,english,6,annually,twice,twice,always,yes,excellent,weekly,F,1.160537126
moderate,learner,not,8,not always,04-May,bad,sometimes,41-50,english,5,Quarterly,once,twice,always,no,good,weekly,F,5.150621714
moderate,knowledge,not,8,no,06-Aug,bad,yes,41-50,telugu,6,half yearly,twice,once,sometimes,no,excellent,weekly,H,6.259040917
hard,knowledge,highly,10,not always,02-Mar,bad,sometimes,21-30,telugu,6,annually,never,never,always,no,can be improved,never,E,3.932571433
easy,learner,highly,10,no,04-May,better,yes,21-30,hindi,5,annually,twice,never,never,yes,can be improved,weekly,E,8.336049216
hard,Assessment,not,10,yes,04-May,hygiene,sometimes,41-50,english,6,half yearly,once,once,never,no,good,never,A,9.81147026
hard,knowledge,moderate,6,not always,06-Aug,hygiene,never,31-40,english,5,half yearly,once,never,always,yes,excellent,never,C,1.091481667
easy,knowledge,moderate,8,no,06-Aug,better,sometimes,31-40,english,6,annually,once,once,never,yes,can be improved,weekly,J,8.317484437
hard,knowledge,not,10,not always,02-Mar,better,yes,41-50,telugu,5,annually,never,never,always,yes,good,monthly,F,1.23541225
moderate,knowledge,moderate,10,not always,06-Aug,bad,yes,31-40,telugu,7,Quarterly,twice,twice,never,no,can be improved,weekly,E,8.621037918
hard,Assessment,not,8,not always,04-May,better,never,31-40,hindi,7,Quarterly,never,never,sometimes,no,excellent,monthly,G,4.979470399
hard,Assessment,highly,6,no,04-May,better,never,21-30,english,5,annually,never,twice,never,no,can be improved,weekly,F,5.048825359
easy,learner,highly,10,not always,06-Aug,hygiene,sometimes,21-30,hindi,6,annually,twice,twice,never,yes,good,monthly,F,5.510181653
moderate,Assessment,not,6,yes,02-Mar,bad,sometimes,21-30,telugu,7,Quarterly,twice,once,never,yes,good,monthly,D,4.301184668
easy,Assessment,highly,10,no,06-Aug,bad,never,41-50,english,7,Quarterly,once,once,never,yes,can be improved,never,H,4.733465502
moderate,knowledge,not,10,yes,06-Aug,bad,sometimes,41-50,hindi,7,annually,never,twice,never,no,good,never,E,8.416622271
moderate,knowledge,moderate,6,no,04-May,bad,sometimes,21-30,english,7,half yearly,once,once,sometimes,no,excellent,never,I,8.393715067
hard,learner,not,10,no,04-May,hygiene,never,41-50,telugu,5,half yearly,twice,twice,never,no,excellent,never,K,4.083334115
moderate,Assessment,not,10,yes,04-May,bad,sometimes,21-30,telugu,6,Quarterly,twice,never,always,yes,can be improved,monthly,E,8.78059432
moderate,learner,moderate,10,yes,02-Mar,bad,yes,41-50,telugu,5,half yearly,never,once,always,yes,good,weekly,E,2.118208132
easy,learner,not,8,not always,04-May,bad,yes,31-40,english,6,half yearly,never,once,never,no,good,monthly,E,6.57016139
easy,Assessment,moderate,8,yes,02-Mar,bad,yes,31-40,telugu,5,Quarterly,never,once,never,yes,can be improved,monthly,C,2.67944966
moderate,knowledge,moderate,8,not always,06-Aug,bad,sometimes,41-50,telugu,7,Quarterly,once,never,sometimes,no,good,weekly,I,2.448466569
hard,learner,highly,6,not always,06-Aug,hygiene,sometimes,41-50,hindi,7,Quarterly,never,never,sometimes,yes,good,monthly,K,9.986073027
easy,Assessment,highly,6,no,06-Aug,hygiene,yes,41-50,english,7,half yearly,once,twice,sometimes,yes,excellent,never,B,9.840742565
moderate,Assessment,not,6,not always,06-Aug,hygiene,sometimes,31-40,english,5,annually,once,once,sometimes,yes,excellent,monthly,J,1.647415279
moderate,learner,highly,8,yes,06-Aug,better,sometimes,41-50,telugu,6,annually,twice,never,never,yes,excellent,never,H,2.681979372
hard,Assessment,moderate,6,not always,02-Mar,hygiene,yes,21-30,telugu,6,Quarterly,once,never,always,no,good,weekly,H,7.675204497
moderate,knowledge,moderate,8,no,04-May,bad,yes,41-50,english,5,half yearly,never,once,never,yes,can be improved,weekly,E,9.219865404
moderate,learner,moderate,10,no,02-Mar,better,yes,41-50,hindi,7,annually,once,twice,sometimes,no,can be improved,never,C,3.605448445
easy,Assessment,moderate,6,yes,06-Aug,better,yes,41-50,english,7,Quarterly,never,never,never,no,can be improved,monthly,B,4.5408924
easy,Assessment,not,8,yes,06-Aug,hygiene,yes,31-40,english,6,half yearly,twice,never,sometimes,yes,good,never,G,9.276053948
hard,knowledge,not,6,not always,04-May,hygiene,sometimes,41-50,english,6,half yearly,never,once,sometimes,yes,excellent,monthly,E,8.774760011
hard,Assessment,highly,6,no,02-Mar,bad,yes,21-30,telugu,7,annually,twice,once,sometimes,yes,can be improved,weekly,I,8.066819941
hard,Assessment,not,10,not always,02-Mar,better,yes,41-50,hindi,7,annually,twice,once,never,yes,good,never,D,3.086389603
hard,knowledge,not,8,yes,04-May,bad,sometimes,41-50,hindi,6,annually,once,twice,never,no,can be improved,monthly,A,4.016766975
easy,learner,highly,8,not always,02-Mar,bad,yes,31-40,hindi,5,half yearly,twice,twice,always,yes,good,never,D,6.543160683
hard,knowledge,moderate,6,not always,04-May,bad,never,21-30,english,7,annually,once,twice,always,no,excellent,never,G,7.907413696
moderate,Assessment,not,6,no,06-Aug,better,never,41-50,hindi,7,annually,once,once,never,yes,excellent,never,G,5.052532798
moderate,learner,not,8,no,04-May,better,sometimes,21-30,telugu,7,half yearly,once,once,always,yes,can be improved,monthly,A,1.210266594
moderate,knowledge,highly,10,yes,02-Mar,bad,sometimes,41-50,english,7,Quarterly,once,once,always,no,good,never,I,1.909466343
moderate,learner,highly,6,no,04-May,bad,never,31-40,telugu,5,half yearly,twice,never,never,no,excellent,weekly,E,5.946274829
moderate,learner,not,8,no,04-May,hygiene,sometimes,41-50,english,7,half yearly,twice,once,always,yes,good,weekly,D,1.326943458
easy,learner,highly,6,no,04-May,hygiene,sometimes,21-30,english,6,Quarterly,once,never,sometimes,yes,good,never,K,6.109173299
easy,knowledge,not,10,no,04-May,better,never,31-40,hindi,6,Quarterly,never,once,never,no,good,monthly,F,8.399304943
hard,knowledge,moderate,6,not always,02-Mar,hygiene,sometimes,41-50,telugu,5,half yearly,once,twice,sometimes,no,excellent,weekly,G,5.805229146
easy,learner,moderate,8,yes,04-May,bad,never,31-40,telugu,7,half yearly,once,never,always,no,good,monthly,C,9.08009962
easy,learner,moderate,10,yes,02-Mar,hygiene,yes,31-40,telugu,6,annually,twice,once,always,yes,good,weekly,H,8.450628437
moderate,learner,not,6,not always,04-May,bad,sometimes,31-40,hindi,6,half yearly,twice,never,always,yes,can be improved,never,A,7.327815201
hard,Assessment,highly,8,not always,02-Mar,hygiene,never,21-30,telugu,6,Quarterly,once,twice,sometimes,yes,excellent,weekly,C,6.405697222
moderate,learner,highly,10,yes,04-May,better,never,21-30,telugu,5,half yearly,twice,twice,always,yes,can be improved,never,J,9.573206371
moderate,Assessment,not,10,yes,04-May,better,never,41-50,hindi,6,half yearly,once,once,sometimes,yes,can be improved,weekly,I,2.927972943
hard,knowledge,moderate,8,yes,02-Mar,bad,sometimes,31-40,telugu,6,half yearly,once,once,sometimes,no,excellent,monthly,A,5.820167833
moderate,knowledge,highly,8,no,02-Mar,better,sometimes,31-40,english,6,half yearly,once,once,always,yes,good,weekly,J,2.242332191
hard,Assessment,moderate,6,not always,02-Mar,bad,never,31-40,hindi,6,annually,twice,once,never,yes,good,never,F,7.501007044
hard,learner,moderate,6,yes,04-May,better,never,41-50,telugu,6,annually,never,never,always,no,excellent,never,G,4.153520767
easy,knowledge,highly,8,not always,04-May,hygiene,never,41-50,telugu,5,Quarterly,never,once,sometimes,no,good,never,C,2.025706326
hard,learner,not,8,yes,04-May,bad,never,21-30,english,6,half yearly,never,once,never,no,can be improved,weekly,F,5.888412418
moderate,knowledge,not,6,no,02-Mar,better,yes,31-40,telugu,7,half yearly,twice,twice,always,yes,can be improved,weekly,K,2.216465082
moderate,learner,moderate,8,no,02-Mar,bad,sometimes,21-30,english,7,half yearly,twice,twice,always,yes,can be improved,never,D,7.085940585
easy,Assessment,highly,10,no,02-Mar,better,never,41-50,english,5,annually,never,twice,never,yes,excellent,monthly,K,9.415767302
moderate,Assessment,not,6,no,04-May,better,never,31-40,english,7,annually,never,never,sometimes,no,excellent,never,B,1.641523257
moderate,learner,not,6,yes,04-May,bad,sometimes,21-30,telugu,6,Quarterly,twice,once,always,no,can be improved,weekly,G,9.203847626
easy,Assessment,highly,6,yes,06-Aug,better,yes,31-40,english,6,Quarterly,twice,never,sometimes,yes,good,never,B,3.080115115
moderate,Assessment,moderate,6,no,02-Mar,hygiene,sometimes,21-30,hindi,5,Quarterly,twice,never,never,yes,excellent,weekly,E,2.973154553
moderate,knowledge,highly,6,yes,06-Aug,better,yes,41-50,telugu,5,half yearly,twice,never,always,yes,good,monthly,K,3.899401434
hard,learner,moderate,10,not always,06-Aug,bad,never,21-30,english,7,half yearly,twice,twice,always,no,can be improved,weekly,H,8.616291329
hard,knowledge,not,8,no,04-May,bad,never,21-30,hindi,7,annually,twice,once,never,no,good,weekly,B,7.345463891
easy,knowledge,not,6,not always,04-May,bad,sometimes,21-30,hindi,6,annually,once,once,always,no,can be improved,weekly,J,1.676567459
moderate,Assessment,highly,8,not always,02-Mar,bad,never,21-30,hindi,6,Quarterly,once,never,always,no,good,never,A,6.795196468
moderate,learner,highly,10,no,04-May,bad,never,31-40,hindi,5,annually,never,twice,sometimes,no,can be improved,never,H,7.956219436
hard,Assessment,moderate,8,yes,04-May,better,yes,31-40,hindi,5,annually,once,once,sometimes,yes,good,never,D,6.786455171
easy,learner,highly,8,yes,06-Aug,better,never,31-40,telugu,5,annually,never,never,never,yes,can be improved,monthly,B,7.347932143
hard,knowledge,highly,8,yes,02-Mar,better,yes,41-50,hindi,5,annually,twice,never,always,yes,good,never,B,7.301262974
hard,knowledge,not,10,yes,04-May,hygiene,sometimes,21-30,telugu,5,Quarterly,once,never,sometimes,yes,excellent,weekly,B,2.925436169
easy,knowledge,not,6,not always,06-Aug,hygiene,yes,41-50,telugu,7,annually,once,once,always,no,can be improved,weekly,I,6.098889314
moderate,knowledge,not,10,not always,06-Aug,hygiene,yes,21-30,hindi,7,half yearly,never,twice,sometimes,no,good,monthly,E,3.17975563
hard,Assessment,not,8,not always,06-Aug,better,yes,21-30,english,5,Quarterly,once,twice,always,yes,excellent,never,C,1.528080615
moderate,knowledge,not,8,yes,04-May,bad,yes,41-50,telugu,5,half yearly,once,never,sometimes,no,excellent,monthly,B,4.116691445
moderate,learner,moderate,6,no,04-May,better,never,31-40,telugu,5,half yearly,never,once,never,no,can be improved,weekly,H,5.622176291
easy,learner,highly,6,yes,02-Mar,bad,never,41-50,hindi,7,Quarterly,once,twice,always,no,excellent,weekly,I,4.175669575
hard,knowledge,highly,8,not always,06-Aug,hygiene,yes,21-30,telugu,5,annually,twice,never,always,yes,can be improved,never,J,1.076600121
moderate,learner,not,10,no,06-Aug,bad,yes,31-40,english,5,annually,once,once,sometimes,no,excellent,weekly,C,3.983283581
moderate,learner,moderate,10,yes,04-May,bad,sometimes,41-50,telugu,5,half yearly,once,once,sometimes,no,good,never,D,9.728596426
easy,knowledge,moderate,6,no,04-May,better,sometimes,41-50,english,5,Quarterly,once,once,never,no,excellent,never,I,6.718532697
hard,learner,not,6,no,06-Aug,better,never,21-30,telugu,7,Quarterly,once,never,always,yes,can be improved,weekly,F,8.747249252
easy,Assessment,highly,10,no,02-Mar,bad,never,31-40,hindi,6,Quarterly,once,twice,never,yes,excellent,never,F,8.686967274
hard,learner,highly,6,not always,04-May,bad,sometimes,21-30,telugu,6,annually,twice,never,always,yes,excellent,monthly,F,4.10716406
moderate,knowledge,moderate,10,not always,04-May,hygiene,sometimes,41-50,english,5,half yearly,twice,never,never,no,good,never,E,1.509964544
hard,Assessment,not,6,no,04-May,hygiene,sometimes,21-30,telugu,5,annually,twice,twice,sometimes,yes,can be improved,monthly,K,8.345314694
easy,learner,not,6,yes,02-Mar,better,never,41-50,english,7,half yearly,twice,twice,always,yes,good,weekly,H,8.556761306
moderate,Assessment,not,8,no,06-Aug,better,yes,21-30,english,5,half yearly,once,twice,never,yes,good,monthly,B,4.431454221
moderate,knowledge,not,10,not always,04-May,hygiene,sometimes,41-50,telugu,6,Quarterly,twice,once,sometimes,yes,can be improved,never,K,5.279254521
easy,Assessment,highly,8,not always,02-Mar,bad,sometimes,31-40,english,6,annually,once,twice,always,no,can be improved,weekly,A,6.815943021
moderate,learner,not,6,yes,06-Aug,better,never,31-40,hindi,6,annually,twice,never,always,yes,excellent,weekly,G,6.096693396
easy,knowledge,moderate,10,not always,02-Mar,hygiene,sometimes,41-50,telugu,7,half yearly,never,never,sometimes,no,good,monthly,J,8.381864038
hard,learner,not,10,yes,06-Aug,hygiene,yes,31-40,english,7,half yearly,once,twice,always,yes,can be improved,monthly,A,8.389129732
hard,Assessment,moderate,8,yes,04-May,better,sometimes,31-40,english,7,annually,once,never,always,no,excellent,monthly,E,3.227487951
easy,knowledge,highly,8,no,04-May,hygiene,yes,31-40,english,6,annually,twice,never,never,no,can be improved,never,H,9.8529135
easy,knowledge,highly,8,not always,06-Aug,better,yes,41-50,english,7,annually,once,never,never,no,good,monthly,B,8.024111476
hard,learner,moderate,10,no,04-May,hygiene,yes,21-30,english,5,annually,never,twice,sometimes,no,excellent,monthly,F,7.649027989
easy,knowledge,highly,10,not always,02-Mar,bad,never,31-40,english,7,half yearly,twice,twice,always,no,good,never,B,2.618559503
moderate,learner,moderate,6,no,02-Mar,better,sometimes,31-40,telugu,7,Quarterly,twice,twice,sometimes,no,can be improved,never,G,1.98218893
hard,learner,highly,6,no,04-May,bad,sometimes,41-50,hindi,6,Quarterly,never,once,sometimes,no,can be improved,monthly,H,2.603565418
moderate,Assessment,highly,8,not always,02-Mar,better,sometimes,41-50,english,6,half yearly,twice,twice,never,yes,good,weekly,K,5.339555259
moderate,learner,highly,8,no,06-Aug,hygiene,yes,41-50,english,7,Quarterly,once,never,always,yes,can be improved,never,G,2.12434572
hard,Assessment,not,10,not always,04-May,bad,sometimes,31-40,telugu,5,annually,twice,once,never,yes,can be improved,never,J,9.888561454
easy,knowledge,highly,10,not always,02-Mar,better,never,21-30,hindi,5,annually,once,once,never,no,excellent,never,C,9.02271675
easy,Assessment,not,8,yes,02-Mar,better,never,41-50,telugu,5,Quarterly,never,once,never,no,can be improved,weekly,H,2.921402567
moderate,learner,highly,10,not always,06-Aug,better,yes,31-40,telugu,6,annually,once,never,always,yes,excellent,never,J,2.751065485
moderate,knowledge,not,6,yes,04-May,hygiene,yes,41-50,telugu,7,half yearly,once,once,sometimes,no,good,never,F,2.384027158
hard,knowledge,not,6,no,06-Aug,better,sometimes,21-30,english,6,annually,twice,never,always,no,excellent,never,I,3.305603846
moderate,learner,highly,8,yes,06-Aug,bad,sometimes,21-30,hindi,5,Quarterly,never,once,never,yes,excellent,never,A,2.169529758
hard,learner,highly,10,yes,02-Mar,bad,yes,21-30,telugu,7,Quarterly,never,twice,sometimes,no,good,monthly,K,3.924097732
easy,knowledge,not,6,no,04-May,hygiene,sometimes,31-40,telugu,6,annually,never,once,sometimes,yes,excellent,monthly,A,4.101659118
hard,learner,moderate,10,not always,06-Aug,hygiene,sometimes,21-30,telugu,7,annually,twice,once,never,no,good,monthly,G,6.789887281
hard,learner,moderate,6,not always,06-Aug,better,yes,31-40,english,6,Quarterly,never,never,always,yes,excellent,monthly,A,4.07138524
easy,knowledge,moderate,6,no,06-Aug,hygiene,never,21-30,english,6,Quarterly,once,once,never,no,excellent,never,C,8.762781744
moderate,learner,not,8,no,04-May,hygiene,never,21-30,english,7,Quarterly,twice,never,sometimes,no,good,weekly,E,5.535160926
moderate,Assessment,moderate,6,yes,04-May,bad,never,41-50,hindi,6,Quarterly,once,twice,always,yes,excellent,monthly,D,8.562655232
moderate,learner,highly,10,no,06-Aug,bad,sometimes,31-40,english,7,half yearly,twice,never,never,no,can be improved,weekly,F,6.141150668
hard,Assessment,not,6,yes,06-Aug,bad,sometimes,21-30,telugu,5,Quarterly,twice,never,sometimes,yes,excellent,weekly,A,1.965745134
easy,learner,moderate,6,not always,04-May,bad,never,21-30,english,6,Quarterly,twice,once,never,yes,excellent,never,E,1.173049841
hard,Assessment,not,8,not always,06-Aug,better,sometimes,31-40,english,7,annually,twice,never,sometimes,yes,good,weekly,I,2.616789039
hard,knowledge,not,10,no,02-Mar,hygiene,sometimes,21-30,english,5,annually,twice,once,always,yes,can be improved,never,A,8.256581787
moderate,learner,highly,10,yes,06-Aug,bad,sometimes,41-50,telugu,6,half yearly,twice,once,always,yes,excellent,never,A,1.303107149
hard,knowledge,highly,10,not always,06-Aug,better,yes,21-30,telugu,7,Quarterly,never,never,sometimes,no,excellent,monthly,D,9.263730278
easy,learner,moderate,6,no,06-Aug,bad,yes,31-40,hindi,6,Quarterly,never,once,sometimes,yes,can be improved,never,A,9.974452252
hard,Assessment,moderate,8,yes,02-Mar,better,sometimes,31-40,hindi,6,Quarterly,never,twice,sometimes,yes,can be improved,never,A,7.876257845
hard,Assessment,not,8,not always,02-Mar,bad,yes,31-40,hindi,7,annually,once,twice,always,yes,excellent,weekly,K,5.641431809
easy,Assessment,moderate,8,yes,02-Mar,better,never,21-30,telugu,6,annually,once,once,always,no,excellent,weekly,E,2.459902929
hard,Assessment,moderate,10,yes,04-May,hygiene,yes,31-40,hindi,5,annually,never,never,never,no,excellent,weekly,H,5.192468412
easy,knowledge,highly,10,not always,02-Mar,bad,yes,41-50,hindi,5,half yearly,twice,once,never,yes,good,monthly,D,5.122188371
easy,Assessment,highly,8,not always,04-May,hygiene,never,41-50,hindi,5,Quarterly,never,never,never,yes,can be improved,monthly,H,4.493293595
hard,knowledge,highly,8,not always,04-May,hygiene,sometimes,21-30,english,5,annually,twice,once,always,yes,excellent,never,F,8.941446629
moderate,learner,not,6,not always,02-Mar,bad,never,31-40,telugu,7,half yearly,twice,once,never,no,excellent,monthly,H,4.291276597
moderate,knowledge,moderate,8,yes,02-Mar,better,never,31-40,telugu,5,annually,never,never,sometimes,yes,can be improved,weekly,E,9.806981948
easy,learner,not,8,yes,04-May,bad,yes,21-30,english,5,annually,once,never,always,no,excellent,never,B,2.766546042
moderate,Assessment,highly,10,no,04-May,bad,yes,21-30,english,5,half yearly,twice,twice,always,yes,good,never,I,3.29306664
moderate,Assessment,highly,6,not always,02-Mar,better,sometimes,41-50,english,6,annually,once,never,sometimes,yes,can be improved,weekly,D,9.809515977
easy,Assessment,moderate,8,yes,04-May,bad,yes,31-40,hindi,6,Quarterly,never,twice,always,yes,good,monthly,E,6.812052612
hard,learner,not,8,yes,02-Mar,bad,never,41-50,english,6,Quarterly,twice,never,sometimes,yes,excellent,never,I,2.864100785
moderate,learner,not,10,no,02-Mar,hygiene,never,31-40,hindi,7,Quarterly,never,never,always,no,excellent,never,G,1.511570091
moderate,knowledge,moderate,8,yes,04-May,better,sometimes,41-50,telugu,7,annually,once,once,sometimes,no,excellent,never,D,1.173627567
moderate,knowledge,highly,10,not always,02-Mar,better,never,31-40,hindi,5,annually,once,twice,sometimes,no,can be improved,monthly,F,2.144880355
hard,learner,highly,6,no,06-Aug,bad,sometimes,21-30,hindi,5,Quarterly,twice,twice,sometimes,no,can be improved,monthly,D,9.364924665
hard,Assessment,highly,10,not always,04-May,better,sometimes,31-40,english,7,Quarterly,twice,once,never,yes,excellent,monthly,E,5.136080336
easy,learner,highly,10,no,06-Aug,bad,yes,41-50,english,7,Quarterly,once,twice,always,no,can be improved,monthly,E,9.761232632
easy,learner,moderate,10,no,04-May,better,sometimes,31-40,hindi,5,annually,never,never,sometimes,yes,can be improved,never,B,6.367999894
easy,Assessment,highly,6,yes,02-Mar,hygiene,never,41-50,hindi,7,annually,never,once,never,no,can be improved,never,B,5.104178453
easy,learner,moderate,10,not always,06-Aug,bad,yes,31-40,telugu,5,Quarterly,never,never,always,no,good,weekly,B,4.500469896
moderate,Assessment,not,8,yes,04-May,hygiene,sometimes,31-40,telugu,6,Quarterly,twice,never,always,yes,can be improved,monthly,F,4.185465141
moderate,knowledge,highly,8,not always,04-May,hygiene,sometimes,21-30,english,7,half yearly,twice,once,always,no,can be improved,weekly,B,6.018834886
hard,knowledge,moderate,10,not always,02-Mar,bad,never,41-50,telugu,6,Quarterly,once,twice,never,yes,can be improved,never,I,5.841196032
moderate,knowledge,not,10,yes,02-Mar,better,yes,31-40,english,5,annually,once,once,always,yes,excellent,never,A,2.811963857
hard,learner,highly,6,not always,04-May,bad,sometimes,31-40,english,6,annually,twice,twice,never,yes,good,monthly,C,3.05677424
hard,Assessment,moderate,8,yes,06-Aug,hygiene,yes,41-50,english,5,Quarterly,twice,twice,never,no,good,weekly,E,9.578744211
hard,knowledge,not,6,no,04-May,hygiene,never,31-40,english,5,Quarterly,once,twice,never,no,good,weekly,C,2.828588892
hard,learner,highly,8,no,04-May,bad,sometimes,21-30,telugu,6,Quarterly,once,never,always,yes,excellent,never,G,5.550805777
easy,knowledge,not,8,not always,02-Mar,bad,never,21-30,hindi,6,annually,once,never,never,yes,good,monthly,E,2.56915586
easy,knowledge,highly,6,not always,04-May,bad,yes,21-30,telugu,6,half yearly,never,once,sometimes,no,good,monthly,F,2.046516577
easy,Assessment,moderate,8,no,04-May,bad,yes,41-50,hindi,5,annually,twice,twice,always,no,good,monthly,C,5.092617306
moderate,knowledge,highly,8,yes,06-Aug,bad,yes,21-30,telugu,6,Quarterly,twice,never,always,yes,excellent,never,K,5.217583263
moderate,Assessment,moderate,10,not always,04-May,hygiene,sometimes,31-40,hindi,7,annually,twice,twice,never,no,good,never,I,5.735926789
moderate,Assessment,moderate,6,yes,02-Mar,hygiene,sometimes,41-50,hindi,7,Quarterly,never,never,never,no,good,never,G,4.961229999
